,COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES
0,GERMANY,MBA,MBA in Sales & Marketing ,3678127.2
1,GERMANY,MBA,MBA in Banking,1253594.4
2,GERMANY,MBA,MBA in Business Administration,454540.7
3,GERMANY,MBA,MBA in Hospital/Healthcare Management,3246719.2
4,GERMANY,MBA,MBA in Human Resource Management,1217519.8
5,GERMANY,MBA,MBA in Internal Business,1442986.4
6,GERMANY,MBA,MBA in Supply Chain & Logistics Management,1112181.8
7,GERMANY,MBA,MBA in General Management,1420439.6
8,GERMANY,MBA,MBA in Global Business Management,1339271.6
9,GERMANY,MBA,MBA in Entrepreneurship & Leadership Management,1147174.1
10,GERMANY,MBA,MBA in Tourism,1217519.8
11,GERMANY,MBA,MBA in Business Engineer,1316725.0
12,GERMANY,MBA,MBA in Finance,1442986.4
13,GERMANY,MBA,MBA in Accounting,1354964.1
14,GERMANY,MBA,MBA in Project Management,1112181.8
15,GERMANY,MBA,MBA in E-Sports Management,1354964.1
16,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,1226769.1
17,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1082894.4
18,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Event Management,938117.56
19,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Luxury & Brand,1028321.2
20,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Logistics & Supply Chain,1195197.9
21,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business,1082894.4
22,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Supply Chain Management,1533461.5
23,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hospital/Healthcare Management,1195197.9
24,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Real Estate,3047078.0
25,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,1195197.9
26,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Risk Management,755906.3
27,GERMANY,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in Sports,Leisure & Tourism",986647.1
28,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Eco-Design & Sustainable,1163626.6
29,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Tourism,1195197.9
30,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Data Analysis,1353054.2
31,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Digital Marketing,1353054.2
32,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Fashion Management,2256894.5
33,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Media Management,1172647.0
34,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Psychology Management,516866.72
35,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Public Relations Management,1353054.2
36,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Sports Management,1217748.8
37,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Stratergic Management,1136565.5
38,GERMANY,M.ENG,M.ENG in Mechanical,2329959.2
39,GERMANY,M.ENG,M.ENG in Electrical,1298932.0
40,GERMANY,M.ENG,M.ENG in Architecture,584519.44
41,GERMANY,M.ENG,M.ENG in Civil,1298932.0
42,GERMANY,M.ENG,M.ENG in IT & Networking,270610.84
43,GERMANY,M.ENG,M.ENG in Chemical,270610.84
44,GERMANY,M.ENG,M.ENG in Computer Science Engineering,1044106.8
45,GERMANY,M.ENG,M.ENG in Aerospace,3157125.5
46,GERMANY,M.ENG,M.ENG in Biomedical,90835.04
47,GERMANY,M.ENG,M.ENG in Energy & Environment,1298932.0
48,GERMANY,M.ENG,M.ENG in Industrial,1344033.9
49,GERMANY,M.ENG,M.ENG in International Business,1163626.6
50,GERMANY,M.ENG,M.ENG in Production,811832.5
51,GERMANY,M.Sc,M.Sc in Physics,1623665.0
52,GERMANY,M.Sc,M.Sc in Chemistry,1398156.0
53,GERMANY,M.Sc,M.Sc in Biology,1262850.6
54,GERMANY,M.Sc,M.Sc in Psychology ,1226769.1
55,GERMANY,M.Sc,M.Sc in Nursing,1623665.0
56,GERMANY,M.Sc,M.Sc in Environment,1488359.6
57,GERMANY,M.Sc,M.Sc in Agriculture,1127545.1
58,GERMANY,M.Sc,M.Sc in Business & Finance,1894275.9
59,GERMANY,M.Sc,M.Sc in I.T,1804072.2
60,GERMANY,M.Sc,M.Sc in Data Science,2119785.0
61,USA,MBA,MBA in Sales & Marketing,2638614.5
62,USA,MBA,MBA in Business Administration,1417822.6
63,USA,MBA,MBA in Hospital/Healthcare Management,2058338.9
64,USA,MBA,MBA in International Business,2660913.5
65,USA,MBA,MBA in Supply Chain & Logistics Management,4676152.0
66,USA,MBA,MBA in Entrepreneurship & Leadership Management,2479691.8
67,USA,MBA,MBA in Finance,2660913.5
68,USA,MBA,MBA in Accounting,2058338.9
69,USA,MBA,MBA in Project Management,2321434.8
70,USA,MBA,MBA in Executive MBA,7779719.0
